STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,CURRENCY,Currency,BASE_PER,Base period,METHODOLOGY,Methodology,DECIMALS,Decimals,PRICE_BASE,Price base,ADJUSTMENT,Adjustment
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1993-Q4,,810236245327.883,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2013-Q2,,1823329904142.92,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2013-Q3,,1841329908275.22,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2013-Q4,,1849752060035.57,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2014-Q1,,1865608011077.38,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2014-Q2,,1871531243592.29,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2014-Q3,,1900975849736.35,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2014-Q4,,1903962132437.07,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2015-Q1,,1916647984326.8,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2015-Q2,,1921657565860.58,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2015-Q3,,1936201381659.28,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2015-Q4,,1956018187495.42,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2016-Q1,,1977056854225.69,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2016-Q2,,1992732352243.19,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2016-Q3,,2022421815070.31,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2016-Q4,,2046173688580.09,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2017-Q1,,2065719116330.76,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2017-Q2,,2077033013261.71,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2017-Q3,,2088072696927.43,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
